B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Ni,Zn,Sr,Zr,Sn,Sb,Ce,Température,ph,Ln(V0)
0,55.33,0,0,0,0,0,0,0,0,2.18,1.79,0,0,1.7,0.06,0.03,0,50,9.0,0.5877866649
0,55.33,0,0,0,0,0,0,0,0,2.18,1.79,0,0,1.7,0.06,0.03,0,50,9.8,1.061256502
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.7,-0.7133498879
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.67,-0.2484613593
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.95,0.2231435513
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.51,-0.2357223335
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.84,-0.5978370008
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.85,0.5538851132
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.69,0.3576744443
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.55,0.02955880224
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.6,0.07696104114
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.42,-0.02020270732
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.73,0.05826890812
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.54,-0.03045920748
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.84,0.955511445
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.69,0.4317824164
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.93,0.7275486073
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.53,-0.5978370008
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.89,0.4946962418
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.59,0.231111721
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.87,0.3074846997
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.59,-0.5621189182
0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0.38,0,0,0,90,8.74,0.05826890812
10.09,60.6,7.98,0,2.41,18.93,0,0,0,0,0,0,0,0,0,0,0,0,90,9,0.0953101798
9.73,60.24,7.69,0,2.34,18.29,0,0,1.72,0,0,0,0,0,0,0,0,0,90,9,0.8754687374
9.57,60.33,7.58,0,2.27,18.02,0,0,1.72,0,0,0,0,0,0.52,0,0,0,90,9,0.5306282511
9.57,60.35,7.55,0,2.29,18.03,0,0,1.7,0,0,0,0,0,0.51,0,0,0,90,9,0.4700036292
9.18,59.12,7.19,0,2.2,17.16,0,0,1.62,0,0,0,0,0,0.5,0,0,0,90,9,0.7884573604
9.91,60.71,7.83,0,2.38,18.64,0,0,0,0,0,0,0,0,0.54,0,0,0,90,9,0.0953101798
9.1,59.01,7.43,0,2.19,17.1,0,0,1.63,0,0,0,0,0,0.5,0,0,0,90,9.3,0.7884573604
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,23,8.99,-6.413059037
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,23,9.99,-6.123853735
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,23,11.0,-4.268697949
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,23,12.02,-2.753570716
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,40,8.67,-5.146455017
5.58,59.01,4.54,0,3.7,17.97,0,0,1.79,0,0,0,0,0,0.19,0,0,0.15,40,9.55,-4.110473944
