Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Sr,Y,Zr,Mo,Ru,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,S_autres_TR,Th,U,Température,ph,V0_B_ou_r0_B
2.79,8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.79,0,0.65,0,0,0.47,0.26,0,0,0,0,0,0,0.16,0,0,0.12,0,0.25,0,0,0,70,11.08,2.45
2.79,8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.79,0,0.65,0,0,0.47,0.26,0,0,0,0,0,0,0.16,0,0,0.12,0,0.25,0,0,0,90,7.72,0.367
2.79,8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.79,0,0.65,0,0,0.47,0.26,0,0,0,0,0,0,0.16,0,0,0.12,0,0.25,0,0,0,90,8.52,0.952
2.79,8.5,58.94,6.9,0,2.05,15.97,0,0,1.52,0,0,0,0.79,0,0.65,0,0,0.47,0.26,0,0,0,0,0,0,0.16,0,0,0.12,0,0.25,0,0,0,90,10.06,2.33
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,22.7,9.0,0.00162181
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,22.7,10.0,0.00218776
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,22.7,11.0,0.01412538
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,22.7,12.0,0.06309573
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,40.9,8.7,0.00575439
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,40.9,9.6,0.0162181
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,40.2,10.9,0.09772372
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,39.9,11.7,0.34673685
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,71.0,8.1,0.10715193
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,71.0,8.9,0.18620871
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,70.1,10.4,0.85113804
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,70.1,11.1,1.73780083
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,90.6,7.7,0.30902954
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,90.6,8.5,0.66069345
6.06,5.57,59.08,4.54,0,3.7,17.95,0,0,1.79,0,0,0,0,0,0,0,0,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,90.5,10.1,3.4673685
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,23.0,8.0,0.00112202
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,23.0,9.0,0.00147911
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,23.0,10.0,0.00707946
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,23.0,11.0,0.01023293
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,23.0,12.0,0.02884032
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,40.0,7.9,0.00794328
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,40.0,8.7,0.01122018
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,40.0,9.6,0.03467368
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,40.0,10.9,0.04786301
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,40.0,11.7,0.12302688
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,70.0,8.1,0.01862087
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,70.0,8.9,0.09549926
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,70.0,10.4,0.18197009
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,70.0,11.1,0.45708819
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,90.0,7.7,0.31622777
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,90.0,8.5,0.87096359
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,90.0,10.1,1.09647819
2.74,5.88,55.92,12.55,0.76,3.61,13.48,0,0.18,2.01,0,0,0,0.26,0,0.76,0,0,0.5,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0.19,0,0,90.0,10.7,2.7542287
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,23.0,8.3,0.000794
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,23.0,9.0,0.001622
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,23.0,10.0,0.004571
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,23.0,11.0,0.00537
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,23.0,12.0,0.029512
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,40.0,8.0,0.006026
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,40.0,8.7,0.013183
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,40.0,9.6,0.028184
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,40.0,10.5,0.069183
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,40.0,11.6,0.204174
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,70.0,7.4,0.026915
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,70.0,8.2,0.054954
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,70.0,9.1,0.114815
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,70.0,9.9,0.416869
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,70.0,11.0,0.40738
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,90.0,7.8,0.208929
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,90.0,8.7,0.30903
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,90.0,9.6,0.912011
0.0,7.11,0,27.35,1.85,6.65,45.0,0,0.09,1.33,0.0,0,0.06,0.47,0,3.04,0,0,2.99,0.0,0,0,0,0.49,0,0,0,0,0,0,0,0,0.15,0,0,90.0,10.5,0.346737
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,23.0,8.0,0.000417
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,23.0,9.0,0.001288
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,23.0,10.0,0.006607
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,23.0,11.0,0.0195
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,23.0,12.0,0.045709
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,40.0,8.6,0.007762
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,40.0,9.6,0.026303
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,40.0,10.7,0.075858
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,40.0,11.6,0.158489
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,70.0,8.0,0.044668
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,70.0,9.0,0.123027
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,70.0,10.0,0.371535
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,70.0,10.9,0.954993
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,90.0,7.6,0.151356
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,90.0,8.6,0.234423
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,90.0,9.6,0.954993
0.0,9.78,0,26.37,1.69,6.68,43.87,0,0.36,2.37,0.29,0,0.0,0.14,0,2.51,0,0,3.33,0.0,0,0,0,1.05,0,0,0,0,0,0,0,0,0.07,0,0,90.0,10.3,0.851138
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,11.0,0.1148
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7,12.0,0.3631
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,8.7,0.0575
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.9,9.6,0.1622
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,10.9,0.3311
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.9,11.7,0.5129
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,8.1,0.8511
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,8.9,1.5488
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1,10.4,2.9512
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.1,11.1,3.8905
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6,7.7,1.6218
0,8.0,56.31,13.74,0.51,4.06,12.37,0,0.19,2.9,0,0,0,0.26,0,0.75,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.6,8.5,2.7542
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,9.0,0.00575
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,10.0,0.01072
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,11.0,0.04467
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,8.7,0.00871
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,9.6,0.01479
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,10.9,0.07079
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,11.7,0.18621
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,70.0,7.3,0.04365
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,70.0,8.1,0.1122
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,70.0,8.9,0.25704
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,70.0,10.4,1.1749
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,70.0,11.1,3.63078
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,90.0,6.9,0.1
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,90.0,7.7,0.16596
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,90.0,8.5,0.38019
0,5.36,57.32,13.54,1.04,2.55,15.55,0,0.23,0.75,0.52,0,0,1.84,0,0.76,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,90.0,10.1,1.31826
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,23.0,7.1,0.001148
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,23.0,9.0,0.001318
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,23.0,9.7,0.003236
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,23.0,11.1,0.022909
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,40.0,6.6,0.004074
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,40.0,7.5,0.007079
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,40.0,8.4,0.014791
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,40.0,9.4,0.021878
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,40.0,10.9,0.107152
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,70.0,6.9,0.064565
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,70.0,7.8,0.104713
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,70.0,8.9,0.169824
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,70.0,10.5,0.776247
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,90.0,5.5,0.0871
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,90.0,6.5,0.177828
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,90.0,7.4,0.281838
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,90.0,8.5,0.416869
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,90.0,10.1,1.62181
0,5.61,57.19,13.63,0.52,4.14,14.72,0,0.98,0,0.66,0,0,0.66,0,0.68,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,23.0,9.0,0.001995
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,10.0,0.006607
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,11.0,0.019953
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,23.0,12.0,0.034674
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,7.9,0.005129
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,8.7,0.007079
6.05,6.94,58.33,4.1,1.44,2.36,15.59,0,0.11,2.31,0,0,0,1.29,0,0.76,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,40.0,9.6,0.023442
