Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Sr,Y,Zr,Mo,Ru,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,S_autres_TR,Th,U,Température,Poh,Ln(V0)
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.96782454,0.5822156199
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.06782454,0.457424847
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.76782454,0.476234179
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.36782454,0.5988365011
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.96782454,0.8671004877
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.16782454,0.8878912574
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.56782454,1.118414916
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.66782454,0.4824261492
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.46782454,0.2700271372
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.66782454,0.8837675402
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.36782454,0.9631743178
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.86782454,0.8501509294
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.26782454,0.7323678937
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.16782454,0.9162907319
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.46782454,1.199964783
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.16782454,0.8285518176
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.86782454,1.208960346
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,3.96782454,0.9669838462
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.16782454,0.8197798315
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,4.06782454,0.8628899551
11.96,0,55.33,0,0,0,0,0,0,0,0,2.18,0.41,11.92,1.79,0,0,0.47,1.7,1.21,1.21,0.39,0.1,0.06,0.03,0.39,2.25,0.99,1.54,0,0.76,2.47,1.48,0.19,1.16,50,4.16782454,1.181727195
11.96,0,55.33,0,0,0,0,0,0,0,0,2.18,0.41,11.92,1.79,0,0,0.47,1.7,1.21,1.21,0.39,0.1,0.06,0.03,0.39,2.25,0.99,1.54,0,0.76,2.47,1.48,0.19,1.16,50,3.86782454,1.026041596
11.96,0,55.33,0,0,0,0,0,0,0,0,2.18,0.41,11.92,1.79,0,0,0.47,1.7,1.21,1.21,0.39,0.1,0.06,0.03,0.39,2.25,0.99,1.54,0,0.76,2.47,1.48,0.19,1.16,50,3.96782454,0.2776317366
11.96,0,55.33,0,0,0,0,0,0,0,0,2.18,0.41,11.92,1.79,0,0,0.47,1.7,1.21,1.21,0.39,0.1,0.06,0.03,0.39,2.25,0.99,1.54,0,0.76,2.47,1.48,0.19,1.16,50,4.16782454,0.5877866649
11.96,0,55.33,0,0,0,0,0,0,0,0,2.18,0.41,11.92,1.79,0,0,0.47,1.7,1.21,1.21,0.39,0.1,0.06,0.03,0.39,2.25,0.99,1.54,0,0.76,2.47,1.48,0.19,1.16,50,3.36782454,1.061256502
0,0.67,62.32,0,0,4.11,19.62,0,0,10.2,1.81,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,90,3.408446923,-0.7133498879
