Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Rb,Sr,Y,Zr,Mo,Ru,Te,I,Cs,Ba,La,Hf,Ce,Pr,Nd,S_autres_TR,Température,ph,Ln(V0)
0.0,0.0,0.0,33.49,0.0,9.28,45.13,0.0,0.0,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,1.974081026
0.0,0.0,0.0,33.49,0.0,9.28,45.13,0.0,0.0,12.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,1.526056303
0.0,0.0,0.0,8.27,0.0,51.58,40.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,1.335001067
0.0,0.0,0.0,49.26,0.0,9.74,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,0.1823215568
0.0,0.0,0.0,20.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,9.0,-1.347073648
0.0,11.03,60.63,8.39,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,-3.194183212
0.0,11.03,60.63,8.39,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,-2.47693848
0.0,11.03,60.63,8.39,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,7.0,-2.244316185
0.0,11.03,60.63,8.39,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,-0.3812604194
0.0,11.03,60.63,8.39,0.0,0.0,19.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,0.4995624315
0.0,11.66,59.33,10.78,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0,-5.80914299
0.0,11.66,59.33,10.78,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,7.0,-4.342805922
0.0,11.66,59.33,10.78,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,7.0,-4.017383521
0.0,11.66,59.33,10.78,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,-2.120263536
0.0,11.66,59.33,10.78,0.0,0.0,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,-0.5691612008
0.0,10.24,59.12,10.96,0.0,0.0,18.59,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,3.931825633
0.0,9.69,59.12,11.15,0.0,0.0,18.67,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,3.526360525
0.0,10.18,59.21,10.79,0.0,0.0,18.42,0.0,0.0,1.09,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,3.17805383
0.0,9.58,59.29,10.8,0.0,0.0,18.89,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,90.0,7.0,3.258096538
0.0,10.76,59.09,10.82,0.0,0.0,17.04,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,2.63905733
0.0,10.35,59.11,10.9,0.0,0.0,17.31,0.0,0.0,1.15,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,3.33220451
0.0,10.57,59.23,10.57,0.0,0.0,17.29,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,90.0,7.0,2.302585093
0.0,10.78,58.89,11.2,0.0,0.0,15.57,0.0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,1.386294361
0.0,10.35,60.11,8.9,0.0,0.0,16.89,0.0,0.0,1.15,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,2.595254707
0.0,9.81,59.12,11.03,0.0,0.0,16.3,0.0,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,90.0,7.0,1.098612289
0.0,10.37,59.67,8.9,0.0,0.0,16.11,0.0,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,1.435084525
0.0,10.11,59.82,8.63,0.0,0.0,16.39,0.0,0.0,2.56,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,7.0,2.2300144
0.0,24.66,0.0,22.21,0.0,0.0,40.43,0.0,0.0,6.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,0.0,0.0,0.0,0.0,90.0,7.0,0.6418538862
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,23.0,8.0,-4.509860006
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,40.0,7.9,-2.128631786
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,70.0,7.6,-0.05657035149
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,23.0,10.0,-3.611918413
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,40.0,9.8,-1.136314156
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,70.0,9.3,1.42262629
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,23.0,12.0,-0.4431669753
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,40.0,11.5,1.482286127
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0.0,0.0,0.0,0.0,0.1,0.0,0.47,0.07,0.0,0.0,0.06,0.02,0.39,0.28,0.07,0.03,0.0,0.23,0.16,0.08,0.0,0.14,0.06,0.21,0.45,70.0,10.7,3.823978368
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0.0,0.0,0.0,0.0,0.12,0.0,0.52,0.13,0.0,0.0,0.07,0.02,0.46,0.35,0.08,0.04,0.0,0.29,0.18,0.09,0.0,0.16,0.06,0.22,0.51,23.0,8.0,-3.912023005
