Glass,Al2O3,B2O3,BaO,CaO,Ce2O3,Cl,Cr2O3,Cs2O,F,Fe2O3,HfO2,K2O,La2O3,Li2O,MgO,MnO2,MoO3,Na2O,NiO,Nd2O3,P2O5,Pr2O3,RuO2,SO3,SiO2,SrO,SnO2,TeO2,TiO2,V2O5,Y2O3,ZnO,ZrO2,Temprature,pH,ln_rate
N19M8,7.700,14.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.500,0.000,0.000,18.700,0.000,0.000,0.000,0.000,0.000,0.000,51.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.335
N13M13,7.700,14.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,0.000,13.100,0.000,0.000,0.000,0.000,0.000,0.000,51.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.041
N8M19,7.700,14.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.700,0.000,0.000,7.500,0.000,0.000,0.000,0.000,0.000,0.000,51.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.877
N0M12,12.400,24.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,51.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.741
N19C8,7.700,14.900,0.000,7.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,18.700,0.000,0.000,0.000,0.000,0.000,0.000,51.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.902
A0B0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.700,0.000,0.000,24.200,0.000,0.000,0.000,0.000,0.000,0.000,66.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.411
AVMV4,7.150,16.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.150,0.000,0.000,18.610,0.000,0.000,0.000,0.000,0.000,0.000,48.160,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.569
NBS14/18,0.000,18.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,14.200,0.000,0.000,0.000,0.000,0.000,0.000,67.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.639
NBSA,4.100,17.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.600,0.000,0.000,0.000,0.000,0.000,0.000,64.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,0.956
NBSAC,3.900,16.300,0.000,5.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.800,0.000,0.000,0.000,0.000,0.000,0.000,61.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,2.293
NBSACZ,3.800,16.000,0.000,5.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,0.000,0.000,0.000,0.000,0.000,0.000,60.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.700,90.0,9.0,2.104
NBSAZ,4.000,17.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.400,0.000,0.000,0.000,0.000,0.000,0.000,63.800,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.800,90.0,9.0,0.788
NBSC,0.000,17.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.400,0.000,0.000,0.000,0.000,0.000,0.000,63.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,3.955
NBSCZ,0.000,16.700,0.000,5.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.100,0.000,0.000,0.000,0.000,0.000,0.000,62.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.800,90.0,9.0,4.032
